1,6.31,12.7,31.82,63.7,318.3,637.0
2,2.92,4.30,6.97,9.92,22.33,31.6
3,2.35,3.18,4.54,5.84,10.22,12.9
4,2.13,2.78,3.75,4.60,7.17,8.61
5,2.01,2.57,3.37,4.03,5.89,6.86
6,1.94,2.45,3.14,3.71,5.21,5.96
7,1.89,2.36,3.00,3.50,4.79,5.40
8,1.86,2.31,2.90,3.36,4.50,5.04
9,1.83,2.26,2.82,3.25,4.30,4.78
10,1.81,2.23,2.76,3.17,4.14,4.59
11,1.80,2.20,2.72,3.11,4.03,4.44
12,1.78,2.18,2.68,3.05,3.93,4.32
13,1.77,2.16,2.65,3.01,3.85,4.22
14,1.76,2.14,2.62,2.98,3.79,4.14
15,1.75,2.13,2.60,2.95,3.73,4.07
16,1.75,2.12,2.58,2.92,3.69,4.01
17,1.74,2.11,2.57,2.90,3.65,3.95
18,1.73,2.10,2.55,2.88,3.61,3.92
19,1.73,2.09,2.54,2.86,3.58,3.88
20,1.73,2.09,2.53,2.85,3.55,3.85
21,1.72,2.08,2.52,2.83,3.53,3.82
22,1.72,2.07,2.51,2.82,3.51,3.79
23,1.71,2.07,2.50,2.81,3.59,3.77
24,1.71,2.06,2.49,2.80,3.47,3.74
25,1.71,2.06,2.49,2.79,3.45,3.72
26,1.71,2.06,2.48,2.78,3.44,3.71
27,1.71,2.05,2.47,2.77,3.42,3.69
28,1.70,2.05,2.46,2.76,3.40,3.66
29,1.70,2.05,2.46,2.76,3.40,3.66
30,1.70,2.04,2.46,2.75,3.39,3.65
40,1.68,2.02,2.42,2.70,3.31,3.55
60,1.67,2.00,2.39,2.66,3.23,3.46
120,1.66,1.98,2.36,2.62,3.17,3.37
infty,1.64,1.96,2.33,2.58,3.09,3.29
